id,Attraction,Rating,NumReviews,Address,Duration,Score,Coordinates,ReviewsSummary,0,1,2,3,4,5,6,Country,About,Categories
141,Kent Ridge Park,4,42,"Vigilante drive, Singapore, Singapore",90,168,"(1.2847931, 103.7887475)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"National Parks, Nature & Parks"
142,Mandarin Gallery,3.5,48,"333 Orchard Road Mandarin Orchard Singapore, Singapore 238867, Singapore",90,168,"(1.3020052, 103.8359339)",Reviews Summary not available.,"(540, 1380)","(540, 1380)","(540, 1380)","(540, 1380)","(540, 1380)","(540, 1380)","(540, 1380)",Singapore,"""Set your pulse racing at the sleek Mandarin Gallery. A must-visit during your Orchard Road jaunt, it’s a sophisticated mall that’s home to some of the most elegant labels and tantalising eateries. An adjunct of the five-star Mandarin Orchard hotel, this mall will take your breath away with its range of shopping options. The ground level features high-end brands like Just Cavalli, Vertu and Montblanc, while on the second floor you’ll find Singapore’s most famous fashion designer, Ashley Isham’s boutiques.""","Shopping Malls, Shopping"
143,China Square Central Flea Market,3.5,47,"20 Cross St, Singapore 048422, Singapore",90,164.5,"(1.2838479, 103.8475037)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Not just for commercial dealings, the Central Business District is also home to some cheap shopping and bargain hunting – the China Square flea market is usually held on weekends, and has over 50 vendors peddling a huge range of collectibles and antiques.","Flea & Street Markets, Shopping"
144,J-Cube Mall,3.5,46,"2 Jurong East Central 1 Jcube, Singapore 609731, Singapore",90,161,"(1.3332358, 103.7402295)",Reviews Summary not available.,"(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)",Singapore,Information not available.,"Shopping Malls, Shopping"
145,Air Force Museum,4,40,"400 Airport Road, Singapore 534234, Singapore",90,160,"(1.3467589, 103.8991423)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Military Museums, Museums"
146,Gillman Barracks,4,40,"9 Lock Road Gillman Barracks, Singapore 108937, Singapore",90,160,"(1.2783906, 103.8043766)",Reviews Summary not available.,"(720, 1140)","(0, 0)","(720, 1140)","(720, 1140)","(720, 1140)","(720, 1275)","(720, 1140)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
148,Sakya Muni Buddha Gaya Temple,4,38,"366 Race Course Road, Singapore 218638, Singapore",90,152,"(1.314624, 103.856533)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"One of the most prominent and widely visited Buddhist temples in Singapore, The Sakya Muni Buddha Gaya Temple is often referred to as the Temple of 1,000 Lights.","Sacred & Religious Sites, Sights & Landmarks"
149,Punggol Waterway Park,4,38,"10 Sentul Crescent Road, Singapore 828851, Singapore",90,152,"(1.4102728, 103.9061488)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Jogging Paths & Tracks, Biking Trails, Outdoor Activities, Nature & Parks"
150,112 Katong,3.5,42,"112 East Coast Road 112 Katong, Singapore 428802, Singapore",90,147,"(1.3052458, 103.9050356)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
151,Waterway Point,4,35,"83 Punggol Central Watertown, Singapore 828761, Singapore",90,140,"(1.405649, 103.902067)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
152,Woodlands,3.5,40,"30 Woodlands Avenue 2 Woodlands Mrt Station, Singapore 738343, Singapore",90,140,"(1.436955, 103.7864845)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,The city that is situated up north and near the border of Malaysia is also a teeming neighbourhood replete with lots of shopping options.,"Neighbourhoods, Sights & Landmarks, Other"
153,Chinese Heritage Centre,4.5,31,"12 Nanyang Dive, Nanyang Technological University, Singapore 637721, Singapore",90,139.5,"(1.3438215, 103.6840788)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
154,Hill Street Building,3.5,39,"Hill St., Singapore, Singapore",90,136.5,"(1.2921005, 103.8493669)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Art Galleries, Government Buildings, Museums, Shopping, Sights & Landmarks, More"
155,Changi Sailing Club,4.5,30,"32 Netheravon Road Changi Sailing Club, Singapore 508508, Singapore",90,135,"(1.392253, 103.979583)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sports Camps & Clinics, Outdoor Activities, Classes & Workshops"
156,Mata-Hari Antiques,5,27,"13 Ann Siang Road, Singapore 069693, Singapore",90,135,"(1.2810252, 103.8456941)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Antique Stores, Shopping"
157,The NEWater Visitor Centre,4.5,29,"20 Koh Sek Lim Road, Singapore 486593, Singapore",90,130.5,"(1.3241467, 103.9586925)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Find out why water is the precious lifeblood of our small country and see how Singapore’s waterways interact at the NEWater Visitor Centre.,"Visitor Centres, Traveller Resources"
158,Far East Shopping Centre,3.5,37,"545 Orchard Road Far East Shopping Centre, Singapore 238882, Singapore",90,129.5,"(1.3053796, 103.8300404)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Far East Shopping Centre is best known for its selection of jewellery and precious stones, with rare porcelain, gold, diamonds, old carvings and sculptures all on sale here.","Shopping Malls, Shopping"
159,Woodlands Waterfront Park,4,32,"Admiralty Road West, Singapore, Singapore",150,128,"(1.4560971, 103.7989262)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Nature & Parks
160,Sri Senpaga Vinayagar Temple,4,32,"19 Ceylon Road Sri Senpaga Vinayagar Temple, Singapore 429613, Singapore",90,128,"(1.30563, 103.90249)",Reviews Summary not available.,"(390, 720)","(390, 720)","(390, 720)","(390, 720)","(390, 720)","(390, 720)","(390, 720)",Singapore,"At this temple, a pair of nine-feet tall Dwarapalakas (demigod gatekeepers) flank the Rajagopuram entrance tower, which features the Chola style of architecture.","Sacred & Religious Sites, Sights & Landmarks"
161,Hay Dairies,4,30,"3 Lim Chu Kang Lane 4, Singapore 718859, Singapore",90,120,"(1.431605, 103.7099)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Hay Dairies produces fresh goat’s milk for sale, with freshly-processed milk going on sale the same day it’s taken from the goats.",Features Animals
162,Zhongshan Mall,3.5,34,"20 Ah Hood Road Zhongshan Mall, Singapore 329984, Singapore",90,119,"(1.3273259, 103.8464477)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
163,Queensway Shopping Centre,3.5,34,"1 Queensway Queensway Shopping Centre/Queensway Tower, Singapore 149053, Singapore",90,119,"(1.2875454, 103.8033811)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
164,Quayside Isle,4.5,25,"31 Ocean Way Quayside Isle, Singapore 098375, Singapore",150,112.5,"(1.247633, 103.84217)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Other Food & Drink, Food & Drink"
165,MCI and MCCY Building,4,28,"140 Hill Street Old Hill Street Police Station, Singapore 179369, Singapore",90,112,"(1.2907461, 103.8483462)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"The MICA building, with all of its 911 windows painted in a myriad of colours like green, red, yellow and blue, is sure to catch your eye as you explore the Civic District trail. Its vibrant exterior and revamped internal space makes it the ideal venue for large-scale exhibitions and performances.","Historic Sites, Sights & Landmarks"
166,Jurong Frog Farm,4,28,"56 Lim Chu Kang Lane 6, Singapore 719164, Singapore",90,112,"(1.4359859, 103.717088)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Jurong Frog Farm (JFF) is the first and only frog farm in Singapore. Established in 1981, JFF is in Kranji Countryside, away from the buzz of the city. Get up close with around 20,000 American Bullfrogs and enjoy their melodious chorus. Take a guided tour and be introduced to the basics of frogs' life-cycle and habits, feed them, take photographs with them, sample Hashima Dessert, and bring home a souvenir.",Features Animals
167,Cathedral of the Good Shepherd,4,28,"A Queen St | Bras Basah MRT Station / City Hall MRT Station, Singapore 188533, Singapore",90,112,"(1.2961055, 103.8511091)",Reviews Summary not available.,"(420, 1170)","(570, 1050)","(570, 1050)","(570, 1050)","(570, 1050)","(570, 1050)","(510, 1200)",Singapore,Information not available.,"Churches & Cathedrals, Sights & Landmarks"
168,Bedok Reservoir Park,4,28,"Along Bedok Reservoir Road | North of Bedok New Town, Singapore, Singapore",240,112,"(1.3413025, 103.9245499)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Nature & Parks
169,Malabar Mosque,3.5,30,"471 Victoria Street Masjid Malabar, Singapore 198370, Singapore",90,105,"(1.3051994, 103.8597152)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sacred & Religious Sites, Sights & Landmarks"
170,Bedok Mall,3.5,30,"311 New Upper Changi Road Bedok Mall, Singapore 467360, Singapore",90,105,"(1.3243582, 103.9286897)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
171,Changi Point Boardwalk,4,26,"51 Lorong Bekukong Changi Point Ferry Terminal | Changi East, Singapore 499172, Singapore",90,104,"(1.3912141, 103.9877091)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Piers & Boardwalks, Sights & Landmarks"
172,Zhujiao Centre (Tekka Market),4,26,"665 Serangoon Road, Singapore, Singapore",90,104,"(1.3145224, 103.8575865)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Flea & Street Markets, Shopping"
173,Army Museum of Singapore,4,25,"520 Upper Jurong Road, Singapore 638367, Singapore",90,100,"(1.332018, 103.676725)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Military Museums, Museums"
174,The Punggol Settlement,4,25,"3 Punggol Point Road The Punggol Settlement, Singapore 828694, Singapore",90,100,"(1.4208268, 103.9123599)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Neighbourhoods, Sights & Landmarks, Other"
175,United Square Shopping Mall,4,24,"101 Thomson Road United Square, Singapore 307591, Singapore",90,96,"(1.3171694, 103.8435788)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"United Square Shopping Mall is the mall just for kids. A place truly for fun play and learn, the mall is fully equipped with kids-friendly features and everything a kid needs. Drop by the mall in June and December, you are likely to catch a free mall character show fit for the prince and princess. The constant mall shows and events are bound to make every kid come back for more!","Shopping Malls, Shopping"
176,The Green Corridor,4,24,"Singapore 588374, Singapore",90,96,"(1.337205, 103.781221)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Scenic Railroads, Tours"
177,Lian Shan Shuang Lin Temple,4.5,21,"184E Jalan Toa Payoh Siang Lim Sian LI Buddhist Temple, Singapore 319941, Singapore",90,94.5,"(1.330419, 103.8573145)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"If you’re looking to visit a grand temple in Singapore, stop by the famous Lian Shan Shuang Lin Temple in Toa Payoh, which has an elaborately decorated gateway, reached by a bridge, which opens into a courtyard.","Sacred & Religious Sites, Sights & Landmarks"
178,Far East Square,4,23,"45 Pekin Street | Far East Square, Singapore, Singapore",90,92,"(1.2830682, 103.848281)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
180,Tampines Mall,4,22,"4 Tampines Central 5 Tampines Mall, Singapore 529510, Singapore",90,88,"(1.352614, 103.9446926)",Reviews Summary not available.,"(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)","(600, 1320)",Singapore,Information not available.,"Shopping Malls, Shopping"
181,Japanese Cemetery Park,4,22,"22 Chuan Hoe Avenue, Singapore 549854, Singapore",90,88,"(1.3643152, 103.8758276)",Reviews Summary not available.,"(480, 1110)","(480, 1110)","(480, 1110)","(480, 1110)","(480, 1110)","(480, 1110)","(480, 1110)",Singapore,Information not available.,"Cemeteries, Sights & Landmarks"
182,Sembawang Park,3.5,25,"Sembawang Rd, Singapore, Singapore",90,87.5,"(1.4322871, 103.8267394)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,The city's only park with a beach.,"Beaches, Outdoor Activities, Nature & Parks"
183,The Star Performing Arts Centre,4.5,19,"1 Vista Exchange Green The Star Vista | #04-01, Singapore 138617, Singapore",90,85.5,"(1.306895, 103.788483)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Theatres, Concerts & Shows"
184,AMK Hub,3.5,24,"53 Ang Mo Kio Avenue 3 Amk Hub 3, Singapore 569933, Singapore",150,84,"(1.3694045, 103.848792)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
185,National University of Singapore,4.5,18,"21 Lower Kent Ridge Road, Singapore 119077, Singapore",240,81,"(1.2971342, 103.7777567)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Universities & Schools, Sights & Landmarks"
186,Church of the Sacred Heart,4.5,18,"111 Tank Road Church of the Sacred Heart, Singapore 238069, Singapore",90,81,"(1.296022, 103.843462)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Churches & Cathedrals, Sights & Landmarks"
187,Capitol Piazza,3.5,23,"13 Stamford Road Capitol Piazza, Singapore 178905, Singapore",60,80.5,"(1.2931317, 103.8514392)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
188,Hajjah Fatimah Mosque,4,20,"4001 Beach Road Hajjah Fatimah Mosque, Singapore 199584, Singapore",90,80,"(1.3029139, 103.862853)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Perhaps the most unusual feature you’ll notice here is a distinctive minaret designed by an unidentified European architect. The tower leans about six degrees off centre – making this one of the most unique sights in Singapore.,"Sacred & Religious Sites, Sights & Landmarks"
189,Riverside Point,4.5,17,"30 Merchant Road Riverside Point, Singapore 058282, Singapore",150,76.5,"(1.288917, 103.8447336)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
190,Seletar Mall,4,19,"33 Sengkang West Avenue The Seletar Mall, Singapore 797653, Singapore",90,76,"(1.391294, 103.876295)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
191,Tokyu Hands,3,25,"3 Gateway Drive Westgate Floor 01 Unit 37 36, Singapore 608532, Singapore",90,75,"(1.334389, 103.7428284)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
192,Orchard Plaza,3.5,21,"150 Orchard Road Orchard Plaza, Singapore 238841, Singapore",90,73.5,"(1.301243, 103.841164)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Shopping Malls, Shopping"
193,Yueh Hai Ching Temple,4,18,"30B Phillip Street Wan Hai Cheng Bio Temple, Singapore 048696, Singapore",90,72,"(1.2845217, 103.8492887)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sacred & Religious Sites, Sights & Landmarks"
194,SBS Transit - Rail Transit,4.5,16,"Singapore 579701, Singapore",60,72,"(1.342819, 103.859222)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Mass Transportation Systems, Transportation"
195,Thekchen Choling,4.5,16,"2 Beatty Lane, Singapore 209945, Singapore",90,72,"(1.312151, 103.860352)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Healing chants and the sound of bells surround you when you visit the Thekchen Choling. Named after the monastery of His Holiness the 14th Dalai Lama, it houses one of the biggest collections of mantra wheels in Singapore.","Sacred & Religious Sites, Sights & Landmarks"
196,Asia Square Tower,4,18,"8 Marina View Asia Square Tower 1, Singapore 018960, Singapore",90,72,"(1.279088, 103.8513266)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Architectural Buildings, Sights & Landmarks"
197,Katong Antique House,3.5,20,"208 E. Coast Rd., Singapore, Singapore",90,70,"(1.307258, 103.907141)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Historic Sites, Sights & Landmarks"
198,Cenotaph,3.5,20,"1 Esplanade Drive Esplanade - Theatres On the Bay, Singapore 038981, Singapore",90,70,"(1.2897934, 103.8558166)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Monuments & Statues, Sights & Landmarks"
199,Sri Thandayuthapani Temple,4,17,"15 Tank Road Sri Thandaynthapani Temple, Singapore 238065, Singapore",90,68,"(1.2943222, 103.843047)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"The distinctive feature of this Southern Indian temple is its roof, with 48 engraved glass panels angled to catch the rising and setting sun.","Sacred & Religious Sites, Sights & Landmarks"
200,Marine Parade Market,4,17,"Blk 84 Marine Parade Central Marine Parade Promenade | Opposite Parkway Parade Shopping Centre, Singapore 440084, Singapore",90,68,"(1.3021616, 103.9063634)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Farmers Markets, Shopping, Food & Drink"
201,Kampong Buangkok,4.5,15,"Off Yio Chu Kang Road, Singapore, Singapore",90,67.5,"(1.3809583, 103.833178)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
202,OCBC Aquatic Centre,4.5,15,"7 Stadium Drive | Singapore Sports Hub, Singapore 397632, Singapore",90,67.5,"(1.3054131, 103.872721)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sports Complexes, Fun & Games"
203,Joo Chiat Complex,3.5,19,"1 Joo Chiat Road Joo Chiat Complex, Singapore 420001, Singapore",90,66.5,"(1.31543, 103.898913)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Joo Chiat Complex is a popular shopping mall in Geylang Serai specialising in Malay textiles, crafts, jewellery and traditional clothing.","Shopping Malls, Shopping"
204,Central Sikh Temple,4,16,"2 Towner Road Central Sikh Temple, Singapore 327804, Singapore",90,64,"(1.3188143, 103.8605539)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Learn more about the life of the Sikhs in Singapore at the Central Sikh Temple. Step into the magnificent prayer hall and be awed by its 13-metre wide dome covered with white, grey and gold mosaic tiles.","Sacred & Religious Sites, Sights & Landmarks"
205,The Church Of Our Lady Of Lourdes,4,16,"50 Ophir Road Church of Our Lady of Lourdes, Singapore 188690, Singapore",90,64,"(1.3032454, 103.8560009)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Churches & Cathedrals, Sights & Landmarks"
206,Sri Layan Sithi Vinayagar Temple,4,16,"73 Keong Saik Road, Singapore 089167, Singapore",60,64,"(1.2812538, 103.8418569)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sacred & Religious Sites, Sights & Landmarks"
207,Singapore Pinacotheque de Paris,3,21,"5 Cox Terrace Fort Canning Arts Centre | Fort Canning Arts Centre, Singapore 179620, Singapore",90,63,"(1.2952401, 103.8467699)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,"Singapore Pinacothèque de Paris marks the first expansion outside Europe of the renowned Pinacothèque de Paris, heralding a pioneering international private museum in a thriving arts and lifestyle hub. Located in the rejuvenated Fort Canning Arts Centre, a heritage building set atop Singapore's historic and cultural landmark, Fort Canning Park, Singapore Pinacothèque takes centre stage with its distinctive expertise in international fine art, and offers a unique voice on history and culture in the region's visual arts landscape. 'Pinacothèque' translates as 'box of paintings' and refers to a place where paintings (or any image) are kept in which private collector pieces were displayed for public appreciation. We aim to stimulate your sense of curiosity and wonder through uniquely curated exhibitions, and by combining storytelling with state-of-the-art technology to create an experience that is immersive, interactive, engaging and fun. The museum's three main galleries feature a permanent collection of masterpieces, twice-yearly rotating blockbuster exhibitions, and a collection of artefacts that traces the legacy of Southeast Asia and Singapore. Delivering a fresh perspective on art, the exhibitions are curated with founder Marc Restellini's signature 'Transversality' credo that presents a dialogue between different works of art, connecting both artists and audiences alike through emotional and thematic links that cut across boundaries of genre, culture and era. The Singapore Pinacothèque de Paris Art Academy, La Boutique Pinacothèque museum shop and a unique variety of international retail and dining concepts also converge at Fort Canning Arts Centre to create a vibrant community of art appreciation, education and lifestyle for everyone.","Art Museums, Museums"
208,Lower Seletar Reservoir,3.5,18,"Yishun Avenue 1, Singapore, Singapore",90,63,"(1.4170284, 103.845797)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Dams, Points of Interest & Landmarks, Sights & Landmarks, Nature & Parks"
209,Sri Vadapathira Kaliamman Temple,4,15,"555 Serangoon Road, Singapore 218174, Singapore",60,60,"(1.3154134, 103.8579559)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Sacred & Religious Sites, Sights & Landmarks"
210,Singapore Quarry,4,15,"100 Dairy Farm Road, Singapore 679057, Singapore",90,60,"(1.3640669, 103.7724249)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"National Parks, Nature & Parks"
211,Lower Peirce Reservoir Park,4.5,13,"16 Old Upper Thomson Road Sembawang Hills Estate, Singapore 576214, Singapore",60,58.5,"(1.372846, 103.828121)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,Features Animals
212,Sri Shivan Temple,4.5,13,"24 Geylang East Avenue 2, Singapore 389752, Singapore",60,58.5,"(1.318349, 103.888708)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Points of Interest & Landmarks, Sights & Landmarks"
213,Sembawang Hot Spring,3.5,16,"Gambas Avenue, Singapore, Singapore",90,56,"(1.4430357, 103.8144647)",Reviews Summary not available.,"(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)","(600, 1080)",Singapore,Information not available.,"Hot Springs & Geysers, Nature & Parks"
